date_actual,CIT_Net,player
2013-02-05 00:00:00,-30253,Ncom
2013-02-05 00:00:00,1801,Nrep
2013-02-12 00:00:00,-21457,Com
2013-02-12 00:00:00,58052,Index
2013-02-12 00:00:00,-38466,Ncom
2013-02-12 00:00:00,1871,Nrep
2013-02-19 00:00:00,-17954,Com
2013-02-19 00:00:00,55446,Index
2013-02-19 00:00:00,-39330,Ncom
2013-02-19 00:00:00,1838,Nrep
2013-02-26 00:00:00,-23045,Com
2013-02-26 00:00:00,55673,Index
2013-02-26 00:00:00,-33864,Ncom
2013-02-26 00:00:00,1237,Nrep
2013-03-05 00:00:00,-22700,Com
2013-03-05 00:00:00,54743,Index
2013-03-05 00:00:00,-34026,Ncom
2013-03-05 00:00:00,1983,Nrep
2013-03-12 00:00:00,-22788,Com
2013-03-12 00:00:00,55076,Index
2013-03-12 00:00:00,-34110,Ncom
2013-03-12 00:00:00,1822,Nrep
2013-03-19 00:00:00,-16491,Com
2013-03-19 00:00:00,54612,Index
2013-03-19 00:00:00,-39243,Ncom
2013-03-19 00:00:00,1122,Nrep
2013-03-26 00:00:00,-16848,Com
2013-03-26 00:00:00,54731,Index
2013-03-26 00:00:00,-38991,Ncom
2013-03-26 00:00:00,1107,Nrep
2013-04-02 00:00:00,-17236,Com
2013-04-02 00:00:00,54687,Index
2013-04-02 00:00:00,-36188,Ncom
2013-04-02 00:00:00,-1263,Nrep
2013-04-09 00:00:00,-21062,Com
2013-04-09 00:00:00,54691,Index
2013-04-09 00:00:00,-33920,Ncom
2013-04-09 00:00:00,291,Nrep
2013-04-16 00:00:00,-19774,Com
2013-04-16 00:00:00,55566,Index
2013-04-16 00:00:00,-35595,Ncom
2013-04-16 00:00:00,-197,Nrep
2013-04-23 00:00:00,-28802,Com
2013-04-23 00:00:00,55759,Index
2013-04-23 00:00:00,-27571,Ncom
2013-04-23 00:00:00,614,Nrep
2013-04-30 00:00:00,-26085,Com
2013-04-30 00:00:00,56880,Index
2013-04-30 00:00:00,-30937,Ncom
2013-04-30 00:00:00,142,Nrep
2013-05-07 00:00:00,-35812,Com
2013-05-07 00:00:00,56744,Index
2013-05-07 00:00:00,-20745,Ncom
2013-05-07 00:00:00,-186,Nrep
2013-05-14 00:00:00,-45812,Com
2013-05-14 00:00:00,56425,Index
2013-05-14 00:00:00,-11531,Ncom
2013-05-14 00:00:00,918,Nrep
2013-05-21 00:00:00,-34173,Com
2013-05-21 00:00:00,56616,Index
2013-05-21 00:00:00,-22299,Ncom
2013-05-21 00:00:00,-145,Nrep
2013-05-28 00:00:00,-24504,Com
2013-05-28 00:00:00,55995,Index
2013-05-28 00:00:00,-32439,Ncom
2013-05-28 00:00:00,948,Nrep
2013-06-04 00:00:00,-21920,Com
2013-06-04 00:00:00,55531,Index
2013-06-04 00:00:00,-34290,Ncom
2013-06-04 00:00:00,678,Nrep
2013-06-11 00:00:00,-22888,Com
2013-06-11 00:00:00,56457,Index
2013-06-11 00:00:00,-34481,Ncom
2013-06-11 00:00:00,912,Nrep
2013-06-18 00:00:00,-19284,Com
2013-06-18 00:00:00,56175,Index
2013-06-18 00:00:00,-38072,Ncom
2013-06-18 00:00:00,1181,Nrep
2013-06-25 00:00:00,-19323,Com
2013-06-25 00:00:00,55755,Index
2013-06-25 00:00:00,-37123,Ncom
2013-06-25 00:00:00,690,Nrep
2013-07-02 00:00:00,-23389,Com
2013-07-02 00:00:00,55712,Index
2013-07-02 00:00:00,-33070,Ncom
2013-07-02 00:00:00,748,Nrep
2013-07-09 00:00:00,-23463,Com
2013-07-09 00:00:00,56405,Index
2013-07-09 00:00:00,-34082,Ncom
2013-07-09 00:00:00,1141,Nrep
2013-07-16 00:00:00,-28020,Com
2013-07-16 00:00:00,56473,Index
2013-07-16 00:00:00,-30104,Ncom
2013-07-16 00:00:00,1652,Nrep
2013-07-23 00:00:00,-35023,Com
2013-07-23 00:00:00,56811,Index
2013-07-23 00:00:00,-23905,Ncom
2013-07-23 00:00:00,2117,Nrep
2013-07-30 00:00:00,-35121,Com
2013-07-30 00:00:00,55812,Index
2013-07-30 00:00:00,-22747,Ncom
2013-07-30 00:00:00,2056,Nrep
2013-08-06 00:00:00,-27883,Com
2013-08-06 00:00:00,55578,Index
2013-08-06 00:00:00,-29383,Ncom
2013-08-06 00:00:00,1690,Nrep
2013-08-13 00:00:00,-30311,Com
2013-08-13 00:00:00,55665,Index
2013-08-13 00:00:00,-27015,Ncom
2013-08-13 00:00:00,1661,Nrep
2013-08-20 00:00:00,-31192,Com
2013-08-20 00:00:00,55791,Index
2013-08-20 00:00:00,-27261,Ncom
2013-08-20 00:00:00,2663,Nrep
2013-08-27 00:00:00,-27387,Com
2013-08-27 00:00:00,56198,Index
2013-08-27 00:00:00,-32206,Ncom
2013-08-27 00:00:00,3394,Nrep
2013-09-03 00:00:00,-27203,Com
2013-09-03 00:00:00,55853,Index
2013-09-03 00:00:00,-32268,Ncom
2013-09-03 00:00:00,3618,Nrep
2013-09-10 00:00:00,-26148,Com
2013-09-10 00:00:00,56126,Index
2013-09-10 00:00:00,-33238,Ncom
2013-09-10 00:00:00,3259,Nrep
2013-09-17 00:00:00,-25867,Com
2013-09-17 00:00:00,57236,Index
2013-09-17 00:00:00,-34713,Ncom
2013-09-17 00:00:00,3345,Nrep
2013-09-24 00:00:00,-27425,Com
2013-09-24 00:00:00,57426,Index
2013-09-24 00:00:00,-32878,Ncom
2013-09-24 00:00:00,2878,Nrep
2013-10-01 00:00:00,-27478,Com
2013-10-01 00:00:00,57253,Index
2013-10-01 00:00:00,-33388,Ncom
2013-10-01 00:00:00,3612,Nrep
2013-10-08 00:00:00,-29007,Com
2013-10-08 00:00:00,57428,Index
2013-10-08 00:00:00,-32069,Ncom
2013-10-08 00:00:00,3649,Nrep
2013-10-15 00:00:00,-33742,Com
2013-10-15 00:00:00,57079,Index
2013-10-15 00:00:00,-27356,Ncom
2013-10-15 00:00:00,4020,Nrep
2013-10-22 00:00:00,-29268,Com
2013-10-22 00:00:00,57036,Index
2013-10-22 00:00:00,-32244,Ncom
2013-10-22 00:00:00,4476,Nrep
2013-10-29 00:00:00,-23470,Com
2013-10-29 00:00:00,56650,Index
2013-10-29 00:00:00,-36955,Ncom
2013-10-29 00:00:00,3776,Nrep
2013-11-05 00:00:00,-21710,Com
2013-11-05 00:00:00,56147,Index
2013-11-05 00:00:00,-40195,Ncom
2013-11-05 00:00:00,5759,Nrep
2013-11-12 00:00:00,-23502,Com
2013-11-12 00:00:00,57110,Index
2013-11-12 00:00:00,-38152,Ncom
2013-11-12 00:00:00,4544,Nrep
2013-11-19 00:00:00,-25981,Com
2013-11-19 00:00:00,56318,Index
2013-11-19 00:00:00,-33367,Ncom
2013-11-19 00:00:00,3030,Nrep
2013-11-26 00:00:00,-27904,Com
2013-11-26 00:00:00,56310,Index
2013-11-26 00:00:00,-31061,Ncom
2013-11-26 00:00:00,2655,Nrep
2013-12-03 00:00:00,-29849,Com
2013-12-03 00:00:00,55979,Index
2013-12-03 00:00:00,-28298,Ncom
2013-12-03 00:00:00,2167,Nrep
2013-12-10 00:00:00,-27131,Com
2013-12-10 00:00:00,55207,Index
2013-12-10 00:00:00,-29408,Ncom
2013-12-10 00:00:00,1331,Nrep
2013-12-17 00:00:00,-34326,Com
2013-12-17 00:00:00,54663,Index
2013-12-17 00:00:00,-22109,Ncom
2013-12-17 00:00:00,1772,Nrep
2013-12-24 00:00:00,-38194,Com
2013-12-24 00:00:00,53929,Index
2013-12-24 00:00:00,-17105,Ncom
2013-12-24 00:00:00,1372,Nrep
2013-12-31 00:00:00,-38035,Com
2013-12-31 00:00:00,53478,Index
2013-12-31 00:00:00,-17905,Ncom
2013-12-31 00:00:00,2461,Nrep
2014-01-07 00:00:00,-42583,Com
2014-01-07 00:00:00,53458,Index
2014-01-07 00:00:00,-12780,Ncom
2014-01-07 00:00:00,1904,Nrep
2014-01-14 00:00:00,-50064,Com
2014-01-14 00:00:00,57291,Index
2014-01-14 00:00:00,-9808,Ncom
2014-01-14 00:00:00,2579,Nrep
2014-01-21 00:00:00,-48509,Com
2014-01-21 00:00:00,57198,Index
2014-01-21 00:00:00,-12390,Ncom
2014-01-21 00:00:00,3701,Nrep
2014-01-28 00:00:00,-45898,Com
2014-01-28 00:00:00,57483,Index
2014-01-28 00:00:00,-15668,Ncom
2014-01-28 00:00:00,4083,Nrep
2014-02-04 00:00:00,-57956,Com
2014-02-04 00:00:00,57309,Index
2014-02-04 00:00:00,-1743,Ncom
2014-02-04 00:00:00,2391,Nrep
2014-02-11 00:00:00,-67334,Com
2014-02-11 00:00:00,56051,Index
2014-02-11 00:00:00,7499,Ncom
2014-02-11 00:00:00,3784,Nrep
2014-02-18 00:00:00,-75595,Com
2014-02-18 00:00:00,55959,Index
2014-02-18 00:00:00,16377,Ncom
2014-02-18 00:00:00,3259,Nrep
2014-02-25 00:00:00,-76781,Com
2014-02-25 00:00:00,53290,Index
2014-02-25 00:00:00,20236,Ncom
2014-02-25 00:00:00,3255,Nrep
2014-03-04 00:00:00,-75358,Com
2014-03-04 00:00:00,50933,Index
2014-03-04 00:00:00,20801,Ncom
2014-03-04 00:00:00,3623,Nrep
2014-03-11 00:00:00,-76806,Com
2014-03-11 00:00:00,49118,Index
2014-03-11 00:00:00,23823,Ncom
2014-03-11 00:00:00,3865,Nrep
2014-03-18 00:00:00,-81343,Com
2014-03-18 00:00:00,47376,Index
2014-03-18 00:00:00,30461,Ncom
2014-03-18 00:00:00,3506,Nrep
2014-03-25 00:00:00,-81498,Com
2014-03-25 00:00:00,46255,Index
2014-03-25 00:00:00,30984,Ncom
2014-03-25 00:00:00,4258,Nrep
2014-04-01 00:00:00,-77954,Com
2014-04-01 00:00:00,46280,Index
2014-04-01 00:00:00,28097,Ncom
2014-04-01 00:00:00,3577,Nrep
2014-04-08 00:00:00,-77054,Com
2014-04-08 00:00:00,46109,Index
2014-04-08 00:00:00,26344,Ncom
2014-04-08 00:00:00,4601,Nrep
2014-04-15 00:00:00,-77152,Com
2014-04-15 00:00:00,45689,Index
2014-04-15 00:00:00,27514,Ncom
2014-04-15 00:00:00,3949,Nrep
2014-04-22 00:00:00,-78419,Com
2014-04-22 00:00:00,44845,Index
2014-04-22 00:00:00,28014,Ncom
2014-04-22 00:00:00,5559,Nrep
2014-04-29 00:00:00,-79046,Com
2014-04-29 00:00:00,44855,Index
2014-04-29 00:00:00,30342,Ncom
2014-04-29 00:00:00,3850,Nrep
2014-05-06 00:00:00,-79238,Com
2014-05-06 00:00:00,44814,Index
2014-05-06 00:00:00,30579,Ncom
2014-05-06 00:00:00,3845,Nrep
2014-05-13 00:00:00,-75022,Com
2014-05-13 00:00:00,44345,Index
2014-05-13 00:00:00,27675,Ncom
2014-05-13 00:00:00,3003,Nrep
2014-05-20 00:00:00,-75976,Com
2014-05-20 00:00:00,44183,Index
2014-05-20 00:00:00,29131,Ncom
2014-05-20 00:00:00,2662,Nrep
2014-05-27 00:00:00,-74480,Com
2014-05-27 00:00:00,44031,Index
2014-05-27 00:00:00,27447,Ncom
2014-05-27 00:00:00,3002,Nrep
2014-06-03 00:00:00,-72535,Com
2014-06-03 00:00:00,43074,Index
2014-06-03 00:00:00,26299,Ncom
2014-06-03 00:00:00,3163,Nrep
2014-06-10 00:00:00,-72068,Com
2014-06-10 00:00:00,43865,Index
2014-06-10 00:00:00,26246,Ncom
2014-06-10 00:00:00,1957,Nrep
2014-06-17 00:00:00,-73129,Com
2014-06-17 00:00:00,44587,Index
2014-06-17 00:00:00,26664,Ncom
2014-06-17 00:00:00,1878,Nrep
2014-06-24 00:00:00,-74967,Com
2014-06-24 00:00:00,45058,Index
2014-06-24 00:00:00,27631,Ncom
2014-06-24 00:00:00,2278,Nrep
2014-07-01 00:00:00,-73322,Com
2014-07-01 00:00:00,44632,Index
2014-07-01 00:00:00,26042,Ncom
2014-07-01 00:00:00,2647,Nrep
2014-07-08 00:00:00,-72768,Com
2014-07-08 00:00:00,44896,Index
2014-07-08 00:00:00,25524,Ncom
2014-07-08 00:00:00,2347,Nrep
2014-07-15 00:00:00,-65575,Com
2014-07-15 00:00:00,44830,Index
2014-07-15 00:00:00,19541,Ncom
2014-07-15 00:00:00,1203,Nrep
2014-07-22 00:00:00,-67849,Com
2014-07-22 00:00:00,44797,Index
2014-07-22 00:00:00,21701,Ncom
2014-07-22 00:00:00,1352,Nrep
2014-07-29 00:00:00,-73934,Com
2014-07-29 00:00:00,44975,Index
2014-07-29 00:00:00,27250,Ncom
2014-07-29 00:00:00,1709,Nrep
2014-08-05 00:00:00,-78467,Com
2014-08-05 00:00:00,44362,Index
2014-08-05 00:00:00,31111,Ncom
2014-08-05 00:00:00,2994,Nrep
2014-08-12 00:00:00,-78699,Com
2014-08-12 00:00:00,44950,Index
2014-08-12 00:00:00,30010,Ncom
2014-08-12 00:00:00,3739,Nrep
2014-08-19 00:00:00,-79772,Com
2014-08-19 00:00:00,45263,Index
2014-08-19 00:00:00,31357,Ncom
2014-08-19 00:00:00,3153,Nrep
2014-08-26 00:00:00,-81749,Com
2014-08-26 00:00:00,44840,Index
2014-08-26 00:00:00,32933,Ncom
2014-08-26 00:00:00,3976,Nrep
2014-09-02 00:00:00,-84224,Com
2014-09-02 00:00:00,45369,Index
2014-09-02 00:00:00,34946,Ncom
2014-09-02 00:00:00,3910,Nrep
2014-09-09 00:00:00,-83078,Com
2014-09-09 00:00:00,45736,Index
2014-09-09 00:00:00,33787,Ncom
2014-09-09 00:00:00,3555,Nrep
2014-09-16 00:00:00,-75834,Com
2014-09-16 00:00:00,46294,Index
2014-09-16 00:00:00,26986,Ncom
2014-09-16 00:00:00,2553,Nrep
2014-09-23 00:00:00,-70589,Com
2014-09-23 00:00:00,46427,Index
2014-09-23 00:00:00,22920,Ncom
