date_actual,CIT_Short,player
2013-08-13 00:00:00,-9311,Nrep
2013-08-20 00:00:00,-71220,Com
2013-08-20 00:00:00,-859,Index
2013-08-20 00:00:00,-53049,Ncom
2013-08-20 00:00:00,-8550,Nrep
2013-08-27 00:00:00,-69204,Com
2013-08-27 00:00:00,-841,Index
2013-08-27 00:00:00,-58795,Ncom
2013-08-27 00:00:00,-8173,Nrep
2013-09-03 00:00:00,-70605,Com
2013-09-03 00:00:00,-896,Index
2013-09-03 00:00:00,-58860,Ncom
2013-09-03 00:00:00,-8723,Nrep
2013-09-10 00:00:00,-70742,Com
2013-09-10 00:00:00,-950,Index
2013-09-10 00:00:00,-61762,Ncom
2013-09-10 00:00:00,-9722,Nrep
2013-09-17 00:00:00,-69987,Com
2013-09-17 00:00:00,-1000,Index
2013-09-17 00:00:00,-63127,Ncom
2013-09-17 00:00:00,-9789,Nrep
2013-09-24 00:00:00,-70640,Com
2013-09-24 00:00:00,-1257,Index
2013-09-24 00:00:00,-60274,Ncom
2013-09-24 00:00:00,-9394,Nrep
2013-10-01 00:00:00,-71738,Com
2013-10-01 00:00:00,-1319,Index
2013-10-01 00:00:00,-60997,Ncom
2013-10-01 00:00:00,-9503,Nrep
2013-10-08 00:00:00,-73330,Com
2013-10-08 00:00:00,-1431,Index
2013-10-08 00:00:00,-60088,Ncom
2013-10-08 00:00:00,-9031,Nrep
2013-10-15 00:00:00,-77483,Com
2013-10-15 00:00:00,-1390,Index
2013-10-15 00:00:00,-54559,Ncom
2013-10-15 00:00:00,-8807,Nrep
2013-10-22 00:00:00,-76976,Com
2013-10-22 00:00:00,-1579,Index
2013-10-22 00:00:00,-60355,Ncom
2013-10-22 00:00:00,-8321,Nrep
2013-10-29 00:00:00,-78854,Com
2013-10-29 00:00:00,-1600,Index
2013-10-29 00:00:00,-66079,Ncom
2013-10-29 00:00:00,-9659,Nrep
2013-11-05 00:00:00,-79434,Com
2013-11-05 00:00:00,-1835,Index
2013-11-05 00:00:00,-71033,Ncom
2013-11-05 00:00:00,-9213,Nrep
2013-11-12 00:00:00,-73808,Com
2013-11-12 00:00:00,-1705,Index
2013-11-12 00:00:00,-68594,Ncom
2013-11-12 00:00:00,-7169,Nrep
2013-11-19 00:00:00,-71610,Com
2013-11-19 00:00:00,-1727,Index
2013-11-19 00:00:00,-64858,Ncom
2013-11-19 00:00:00,-6487,Nrep
2013-11-26 00:00:00,-73454,Com
2013-11-26 00:00:00,-1682,Index
2013-11-26 00:00:00,-61003,Ncom
2013-11-26 00:00:00,-5670,Nrep
2013-12-03 00:00:00,-73061,Com
2013-12-03 00:00:00,-1465,Index
2013-12-03 00:00:00,-58747,Ncom
2013-12-03 00:00:00,-5862,Nrep
2013-12-10 00:00:00,-73523,Com
2013-12-10 00:00:00,-1730,Index
2013-12-10 00:00:00,-60658,Ncom
2013-12-10 00:00:00,-6881,Nrep
2013-12-17 00:00:00,-78750,Com
2013-12-17 00:00:00,-1728,Index
2013-12-17 00:00:00,-51363,Ncom
2013-12-17 00:00:00,-6834,Nrep
2013-12-24 00:00:00,-81537,Com
2013-12-24 00:00:00,-1655,Index
2013-12-24 00:00:00,-46311,Ncom
2013-12-24 00:00:00,-7455,Nrep
2013-12-31 00:00:00,-81302,Com
2013-12-31 00:00:00,-1731,Index
2013-12-31 00:00:00,-45947,Ncom
2013-12-31 00:00:00,-6560,Nrep
2014-01-07 00:00:00,-86629,Com
2014-01-07 00:00:00,-2018,Index
2014-01-07 00:00:00,-42186,Ncom
2014-01-07 00:00:00,-7878,Nrep
2014-01-14 00:00:00,-90745,Com
2014-01-14 00:00:00,-2514,Index
2014-01-14 00:00:00,-40440,Ncom
2014-01-14 00:00:00,-8596,Nrep
2014-01-21 00:00:00,-89548,Com
2014-01-21 00:00:00,-2626,Index
2014-01-21 00:00:00,-42135,Ncom
2014-01-21 00:00:00,-8388,Nrep
2014-01-28 00:00:00,-89852,Com
2014-01-28 00:00:00,-3031,Index
2014-01-28 00:00:00,-46411,Ncom
2014-01-28 00:00:00,-8283,Nrep
2014-02-04 00:00:00,-107880,Com
2014-02-04 00:00:00,-3321,Index
2014-02-04 00:00:00,-35771,Ncom
